step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,timing_s_save_checkpoint
11,0.09489525109529495,0.0005669176243827678,-0.0006955367698537884,0.00015703517419751734,-0.0030343917896971107,7.5390625,0.31077810608063916,166.34705781936646,170.1953125,171.02453994750977,5e-06,11,0,0.5624321699142456,0.996874988079071,0.0,0.5624321699142456,0.996874988079071,0.0,-0.1968921720981598,1.6345634460449219,-2.4743075370788574,-0.1968921720981598,1.6345634460449219,-2.4743075370788574,1176.9453125,3653.0,69.0,0.0,93.984375,221.0,12.0,1176.9453125,3653.0,69.0,0.0,0.0,257.9375,475.0,160.0,0.0,4,42,23.03125,0.1875,0.8125,4.8125,8,4.499457359313965,8.0,8,8,3.257952630519867e-05,0.11174319684505463,2.5008698254823685,1.096423004681128,0.0,0.0,0.0,2.5008698254823685,0.0,212,2580,6.934137308970094,8.882954716682434e-05,1.3257744796574116,0.002979135140776634,8.579035812988877,16.86724893003702,3.723055124282837e-05,0.04602843237572167,0.046710237731679295,1.622048371097724e-05,183665,16.86724893003702,5444.426674492581,
12,0.1700836718082428,0.0012310999081819318,6.80967204971239e-05,0.0,-0.0035973843187093735,4.546875,0.29351076817353516,166.34705781936646,170.1953125,171.16624069213867,5e-06,12,0,0.7479619383811951,0.9897959232330322,0.0,0.7479619383811951,0.9897959232330322,0.0,-0.14590135216712952,2.3064982891082764,-2.4746158123016357,-0.14590135216712952,2.3064982891082764,-2.4746158123016357,781.90625,2808.0,116.0,0.0,73.59375,751.0,13.0,781.90625,2808.0,116.0,0.0,0.0,254.4375,477.0,167.0,0.0,4,42,15.890625,0.0,1.0,6.5625,8,5.983695983886719,8.0,8,8,3.231130540370941e-05,0.11451957188546658,6.5892115123569965,0.7520350539125502,0.0,0.0,0.0,6.5892115123569965,0.0,291,2003,10.035274093970656,8.78944993019104e-05,1.0185193810611963,0.0032910890877246857,6.440086428076029,17.52195651270449,4.036910831928253e-05,0.10026851538678166,0.04854873223227715,2.480994698703891e-05,132652,17.52195651270449,3785.3078765439,
13,0.09522886574268341,0.000632565155683551,-0.0002670358371688053,0.0,0.016465477761812508,2.62109375,0.2890373104729923,166.34705781936646,170.1953125,170.61329650878906,5e-06,13,0,0.854972243309021,2.924999952316284,-0.38749998807907104,0.854972243309021,2.924999952316284,-0.38749998807907104,-0.21084950864315033,2.128361701965332,-2.4748663902282715,-0.21084950864315033,2.128361701965332,-2.4748663902282715,709.4453125,4096.0,86.0,0.0078125,53.71875,412.0,12.0,709.4453125,4096.0,86.0,0.0078125,0.0,261.125,456.0,167.0,0.0,4,42,13.1015625,0.0,1.0,7.1875,8,6.83977746963501,8.0,8,8,4.6858564019203186e-05,0.11077957041561604,3.7547028064727783,0.5569989067444112,0.0,0.0,0.0,3.7547028064727783,0.0,174,2016,7.557545511052012,9.210966527462006e-05,0.9705631509423256,0.0030424650758504868,6.149296781048179,14.704689051955938,3.70759516954422e-05,0.08322463094023734,0.04949809455658463,2.4489991192762686e-05,124233,14.704689051955938,4224.2647757136765,
14,0.07978463917970657,0.0004180986106803175,-0.0005756453251706262,4.395217911223881e-05,0.01962804317008704,5.09375,0.288418688729749,166.34705781936646,170.1953125,170.74812698364258,5e-06,14,0,0.7950187921524048,0.9955000281333923,0.0,0.7950187921524048,0.9955000281333923,0.0,-0.17833171784877777,2.040869951248169,-2.4711878299713135,-0.17833171784877777,2.040869951248169,-2.4711878299713135,662.796875,3232.0,69.0,0.0,53.890625,193.0,12.0,662.796875,3232.0,69.0,0.0,0.0,267.0,477.0,160.0,0.0,4,42,14.40625,0.125,0.875,6.75,8,6.360150337219238,8.0,8,8,3.1946226954460144e-05,0.1085132323205471,1.9652638956904411,0.562033963171416,0.0,0.0,0.0,1.9652638956904411,0.0,178,2056,6.009598730131984,9.0060755610466e-05,0.9292527362704277,0.0030524153262376785,5.810968516394496,12.776575291529298,4.565902054309845e-05,0.0708361669314692,0.04882592397864534,2.5647531603321276e-05,119014,12.776575291529298,4657.507872195796,
15,0.061617642641067505,0.0015387290841317736,0.0003291271755188063,0.0,0.029144252534024417,2.4765625,0.30524361465641936,166.34705781936646,170.1953125,171.28783798217773,5e-06,15,0,0.7202372550964355,0.9979591965675354,-0.20468750596046448,0.7202372550964355,0.9979591965675354,-0.20468750596046448,-0.1874532252550125,1.6200997829437256,-2.474832773208618,-0.1874532252550125,1.6200997829437256,-2.474832773208618,947.6484375,4096.0,148.0,0.0078125,85.8046875,3340.0,12.0,947.6484375,4096.0,148.0,0.0078125,0.0,265.0625,439.0,174.0,0.0,4,42,14.8828125,0.125,0.875,6.3125,8,5.761898040771484,8.0,8,8,3.1230971217155457e-05,0.11622983776032925,28.43425451591611,0.8586539027746767,0.0,0.0,0.0,28.43425451591611,0.0,335,4096,31.392484610900283,9.134598076343536e-05,1.1417164001613855,0.0030352622270584106,7.403885910287499,39.964760195463896,3.8683414459228516e-05,0.2588025013470868,0.04769715262349655,1.9553700239381105e-05,155227,39.964760195463896,1942.048435181386,
16,0.2263229787349701,0.0010265188830089755,1.700009852356743e-05,5.885122300242074e-05,0.06350825764093315,3.32421875,0.27953036018378075,166.34705781936646,170.1953125,171.44020462036133,5e-06,16,0,0.8678979277610779,0.9909999966621399,0.0,0.8678979277610779,0.9909999966621399,0.0,-0.511224091053009,0.7760753035545349,-2.474534034729004,-0.511224091053009,0.7760753035545349,-2.474534034729004,553.8125,4096.0,69.0,0.0078125,43.5078125,856.0,12.0,553.8125,4096.0,69.0,0.0078125,0.0,268.375,500.0,174.0,0.0,4,42,9.8671875,0.0,1.0,7.625,8,6.943183422088623,8.0,8,8,3.166496753692627e-05,0.10392280668020248,9.436599340289831,0.4418112288985867,0.0,0.0,0.0,9.436599340289831,0.0,249,4096,13.25834838859737,9.14260745048523e-05,0.8680032901465893,0.0029571857303380966,5.364494998008013,19.516823494806886,3.6539509892463684e-05,0.1870323381756767,0.05097391674275953,2.8099446316401527e-05,105240,19.516823494806886,2696.135465589538,
17,0.13066215813159943,0.0013489372649928555,-0.000622313265921548,5.4848924264661036e-05,0.0019794288091361523,3.5234375,0.3003087051267731,166.34705781936646,170.1953125,171.13731384277344,5e-06,17,0,0.7179111838340759,0.995312511920929,0.0,0.7179111838340759,0.995312511920929,0.0,-0.2738681137561798,2.4748661518096924,-2.474865674972534,-0.2738681137561798,2.4748661518096924,-2.474865674972534,953.265625,2931.0,154.0,0.0,81.5,550.0,13.0,953.265625,2931.0,154.0,0.0,0.0,255.0,406.0,160.0,0.0,4,42,18.765625,0.0,1.0,6.0625,8,5.743289947509766,8.0,8,8,5.122832953929901e-05,0.12069867737591267,4.9949961844831705,0.8682557353604352,0.0,0.0,0.0,4.9949961844831705,0.0,174,2015,8.423363365232944,0.0008903630077838898,1.1493705213069916,0.002998439595103264,7.410399993881583,17.010010888800025,3.617629408836365e-05,0.06903377669878989,0.04791475380440445,1.938754927066989e-05,154658,17.010010888800025,4546.087624841914,
18,0.1651989370584488,0.0007342116823565448,0.0006415113366529113,0.0,0.012680313433520496,3.3671875,0.30563208142081666,166.34705781936646,170.1953125,170.2433738708496,5e-06,18,0,0.7385407090187073,2.40625,0.0,0.7385407090187073,2.40625,0.0,-0.30243736505508423,2.4748663902282715,-2.4748663902282715,-0.30243736505508423,2.4748663902282715,-2.4748663902282715,1116.0390625,3309.0,198.0,0.0,84.7578125,1041.0,13.0,1116.0390625,3309.0,198.0,0.0,0.0,241.625,419.0,174.0,0.0,4,42,20.421875,0.0,1.0,6.125,8,5.908326148986816,8.0,8,8,2.9612332582473755e-05,0.12192199751734734,9.064080467447639,0.9174971567408647,0.0,0.0,0.0,9.064080467447639,0.0,177,2817,12.154805583879352,8.5439532995224e-05,1.257202235981822,0.0029732491821050644,8.17244197614491,21.61408495157957,3.5472214221954346e-05,0.08508610658424641,0.04702724679996611,1.7109172936656276e-05,173781,21.61408495157957,4020.0869106721075,
19,0.06529001891613007,0.0008511686901329085,0.0005429999450825562,6.403688166756183e-05,0.039524028019513935,6.578125,0.284440249783205,166.34705781936646,170.1953125,170.34716796875,5e-06,19,0,0.853217363357544,0.9938775300979614,0.0,0.853217363357544,0.9938775300979614,0.0,-0.3040325343608856,0.9349721074104309,-2.4748666286468506,-0.3040325343608856,0.9349721074104309,-2.4748666286468506,652.1015625,4096.0,102.0,0.0078125,38.8671875,222.0,12.0,652.1015625,4096.0,102.0,0.0078125,0.0,269.625,477.0,174.0,0.0,4,42,9.8125,0.0,1.0,7.5,8,6.82573938369751,8.0,8,8,2.834014594554901e-05,0.11323698051273823,2.160905174911022,0.38751231860078406,0.0,0.0,0.0,2.160905174911022,0.0,292,2837,6.24116794206202,0.00010088086128234863,0.930941516533494,0.00304345041513443,5.933045739308,13.132311269640923,4.002079367637634e-05,0.07477228602309864,0.05028814588203185,2.5796106280964137e-05,117981,13.132311269640923,4492.012014394857,
20,0.10174717754125595,0.0014754534931853414,0.0001824157326382192,7.542826278950088e-05,0.023084783810190856,3.703125,0.2948123656818017,166.34705781936646,170.1953125,170.69341278076172,5e-06,20,0,0.7550787925720215,0.9984375238418579,0.0,0.7550787925720215,0.9984375238418579,0.0,-0.3878711462020874,2.4748666286468506,-2.4739465713500977,-0.3878711462020874,2.4748666286468506,-2.4739465713500977,861.7109375,4096.0,69.0,0.0078125,59.6640625,331.0,12.0,861.7109375,4096.0,69.0,0.0078125,0.0,262.75,482.0,160.0,0.0,4,42,15.3203125,0.0,1.0,6.5,8,6.04063081741333,8.0,8,8,3.02046537399292e-05,0.10733333602547646,3.1732912808656693,0.6270564276346704,0.0,0.0,0.0,3.1732912808656693,0.0,178,995,7.190959624946117,9.751319885253906e-05,1.0957373846322298,0.0030069500207901,7.0755949057638645,15.397989517077804,3.563612699508667e-05,0.06519514796096172,0.049159631391179556,2.0891607928730435e-05,143931,15.397989517077804,4673.694570332286,
21,0.10846240818500519,0.002092317197821103,0.0005124998353949195,0.0,-0.002955413772724569,3.765625,0.2882264392673061,166.34705781936646,170.1953125,170.61735916137695,5e-06,21,0,0.8306877017021179,3.0234375,0.0,0.8306877017021179,3.0234375,0.0,-0.07253590226173401,2.4748663902282715,-2.4747507572174072,-0.07253590226173401,2.4748663902282715,-2.4747507572174072,777.4765625,4049.0,69.0,0.0,57.6484375,300.0,12.0,777.4765625,4049.0,69.0,0.0,0.0,244.625,366.0,177.0,0.0,4,42,15.1875,0.0,1.0,7.0,8,6.64550256729126,8.0,8,8,4.451163113117218e-05,0.11185497604310513,2.9044041745364666,0.6172992595966207,0.0,0.0,0.0,2.9044041745364666,0.0,211,2820,7.271849170327187,8.760951459407806e-05,1.0522672478109598,0.0030123256146907806,6.491823198273778,14.842967756092548,3.6193057894706726e-05,0.07307142669420487,0.04962067430213315,2.302490743406111e-05,130829,14.842967756092548,4407.103826871113,
22,0.08660291880369186,0.0010994080075761303,-0.000195309116406861,3.557199670467526e-05,0.008865361305652186,2.453125,0.2973456491888804,166.34705781936646,170.1953125,170.46409225463867,5e-06,22,0,0.7741559147834778,0.996874988079071,0.0,0.7741559147834778,0.996874988079071,0.0,-0.18344704806804657,2.4748661518096924,-2.4725489616394043,-0.18344704806804657,2.4748661518096924,-2.4725489616394043,891.328125,3690.0,86.0,0.0,66.25,377.0,12.0,891.328125,3690.0,86.0,0.0,0.0,265.625,377.0,178.0,0.0,4,42,15.6875,0.0,1.0,6.4375,8,6.1932477951049805,8.0,8,8,3.1653791666030884e-05,0.11368942633271217,3.4852435886859894,0.6997059700370301,0.0,0.0,0.0,3.4852435886859894,0.0,371,2728,7.932979037985206,8.965656161308289e-05,1.1259208656847477,0.003040734678506851,7.237005652859807,16.326939778402448,3.6675482988357544e-05,0.06953264123047774,0.04886896922722538,2.0533018289599915e-05,148090,16.326939778402448,4535.142592854295,
23,0.0884600356221199,0.0015540651365881786,0.0007763963276374852,0.0,0.038330335286445916,3.6796875,0.295246874093991,166.34705781936646,170.1953125,170.66535568237305,5e-06,23,0,0.7972628474235535,0.9963265061378479,0.0,0.7972628474235535,0.9963265061378479,0.0,-0.2580902874469757,1.6373628377914429,-2.4748430252075195,-0.2580902874469757,1.6373628377914429,-2.4748430252075195,810.421875,3279.0,191.0,0.0,60.2734375,618.0,13.0,810.421875,3279.0,191.0,0.0,0.0,248.8125,367.0,160.0,0.0,4,42,15.140625,0.0,1.0,6.875,8,6.3781023025512695,8.0,8,8,3.111734986305237e-05,0.11468126811087132,5.478813296183944,0.6229983598313993,0.0,0.0,0.0,5.478813296183944,0.0,160,1569,8.978457504883409,0.00012445449829101562,1.0351965427398682,0.003049001097679138,6.536663021892309,16.582410484552383,3.649480640888214e-05,0.08655269733051274,0.048211879319469464,2.2488243997574443e-05,135582,16.582410484552383,4088.1269983728735,
24,0.06150635704398155,0.0013251113996375352,0.004641782485123258,0.0,-0.011774426326155663,4.4765625,0.2808537794484544,166.34705781936646,170.1953125,170.58308029174805,5e-06,24,0,0.927746593952179,0.9959183931350708,0.0,0.927746593952179,0.9959183931350708,0.0,0.020893333479762077,1.6301122903823853,-2.4741032123565674,0.020893333479762077,1.6301122903823853,-2.4741032123565674,529.0625,3153.0,69.0,0.0,38.609375,554.0,12.0,529.0625,3153.0,69.0,0.0,0.0,282.8125,473.0,174.0,0.0,4,42,8.578125,0.0,1.0,7.8125,8,7.42197322845459,8.0,8,8,3.139488399028778e-05,0.10988268628716469,4.731889512389898,0.375931676273467,0.0,0.0,0.0,4.731889512389898,0.0,218,1144,8.721389200538397,9.478442370891571e-05,0.8483342304825783,0.003033185377717018,5.251005316153169,14.858304748311639,3.689900040626526e-05,0.12878601890930888,0.05052930442795582,2.91876960904255e-05,103920,14.858304748311639,3497.0342094985135,
25,0.08183540403842926,0.0003314272180432454,-0.00030360421715158736,0.0,0.03570042356295744,2.5703125,0.28704245928143196,166.34705781936646,170.1953125,170.77033615112305,5e-06,25,0,0.8169963955879211,0.9938775300979614,-0.15000000596046448,0.8169963955879211,0.9938775300979614,-0.15000000596046448,-0.3069777190685272,1.3806469440460205,-2.469759941101074,-0.3069777190685272,1.3806469440460205,-2.469759941101074,632.109375,3227.0,102.0,0.0,48.84375,225.0,13.0,632.109375,3227.0,102.0,0.0,0.0,274.25,440.0,174.0,0.0,4,42,11.484375,0.0,1.0,7.125,8,6.535971164703369,8.0,8,8,5.097873508930206e-05,0.11404234170913696,2.234525116160512,0.49854762002360076,0.0,0.0,0.0,2.234525116160512,0.0,358,1878,6.393157118931413,9.06139612197876e-05,0.9273752924054861,0.0030329395085573196,5.781039545312524,13.12817500345409,3.753043711185455e-05,0.07901566084453607,0.04983053377448001,2.614287507160618e-05,116014,13.12817500345409,4418.512092102525,
