window,validated_rate,mismatch_rate,unverifiable_rate,validated_rows,mismatch_rows,unverifiable_rows,validated_unique_sample_uid,validated_samples_with_3_ranks,mean_cut_turn_idx_delta_vs_fixed_ratio_0p4,rank1_same_cut_vs_w11,unverifiable_cut_exact,unverifiable_cut_and_next_exact
1,0.7283473516708343,0.01113889520345533,0.2605137531257104,3204,49,1146,1299,785,0.19299840872925664,0.7814171122994652,739,490
3,0.7331211639008866,0.010684246419640827,0.2561945896794726,3225,47,1127,1300,793,0.1970902477835872,0.8402406417112299,712,474
5,0.7360763809956808,0.011366219595362582,0.2525573994089566,3238,50,1111,1301,795,0.21550352352807456,0.8415775401069518,693,458
7,0.7349397590361446,0.011366219595362582,0.25369402136849284,3233,50,1116,1303,792,0.22482382359627187,0.8475935828877005,707,468
9,0.7333484882927939,0.012502841554898841,0.25414867015230735,3226,55,1118,1302,794,0.2580131848147306,0.8409090909090909,711,476
11,0.7267560809274836,0.011366219595362582,0.2618776994771539,3197,50,1152,1295,777,0.21982268697431234,1.0,727,498
15,0.717208456467379,0.010002273243919073,0.272789270288702,3155,44,1200,1294,754,0.21641282109570356,0.7947860962566845,772,542
21,0.7106160491020687,0.011366219595362582,0.27801773130256874,3126,50,1223,1289,744,0.23914526028642874,0.7533422459893048,803,569
