step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,assistant_response_length_mean,assistant_response_length_max,assistant_response_length_min,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput
11,0.0408962108194828,0.0,0.0,0.0,0.0,0.0,0.346722518766121,196.75527667999268,200.7890625,150.16683959960938,5e-06,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3361.7578125,4096.0,1709.0,0.078125,2517.234375,3913.0,1303.0,3361.7578125,4096.0,1709.0,0.078125,0.0,176.0,176.0,176.0,0.0,22,41,40.3984375,1.0,0.0,0.0,0,0.0,8.0,8,8,5.653873085975647e-05,15.260843083262444,40.93921044655144,26.77569503991981,0.0,0.0,0.0,40.93921044655144,0.0,176,4096,43.44608354382217,0.00010276772081851959,3.0741311479359865,0.003042154014110565,20.203837417066097,66.75392455048859,6.761960685253143e-05,0.10096578832182329,6.718048406610307e-06,0.04461653063505994,452833,66.75392455048859,3391.8080700821174
12,0.04099208489060402,0.0,0.0,0.0,0.0,0.0,0.347356297753384,196.75527667999268,200.7890625,150.27622985839844,5e-06,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411.5078125,4096.0,1872.0,0.15625,2589.3203125,3952.0,1532.0,3411.5078125,4096.0,1872.0,0.15625,0.0,176.0,176.0,176.0,0.0,28,41,40.390625,1.0,0.0,0.0,0,0.0,8.0,8,8,6.23948872089386e-05,18.410284562036395,42.32118943706155,27.636649852604023,0.0,0.0,0.0,42.32118943706155,0.0,176,4096,44.734375057742,9.419210255146027e-05,3.084753228351474,0.003000965341925621,20.508558167144656,68.3650146573782,3.6345794796943665e-05,0.10244364789611907,6.5351890390605005e-06,0.044661397007290174,459201,68.3650146573782,3358.4502417015233
13,0.0411047637462616,0.0,0.0,0.0,0.0,0.0,0.3472167461958996,196.75527667999268,200.7890625,126.07770919799805,5e-06,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328.6484375,4096.0,1914.0,0.09375,2537.28125,3992.0,1753.0,3328.6484375,4096.0,1914.0,0.09375,0.0,176.0,176.0,176.0,0.0,18,41,40.40625,1.0,0.0,0.0,0,0.0,8.0,8,8,3.172457218170166e-05,18.821849267929792,42.70819481834769,27.099026971147396,0.0,0.0,0.0,42.70819481834769,0.0,176,4096,45.223603557795286,9.405240416526794e-05,3.0353679042309523,0.003061767667531967,20.001911032944918,68.29063302837312,3.4792348742485046e-05,0.10614200010278967,6.825238060013971e-06,0.04458790453069008,448595,68.29063302837312,3284.4548374124715
14,0.041441451758146286,0.0,0.0,0.0,0.0,0.0,0.35071074488507753,196.75527667999268,200.7890625,126.26872253417969,5e-06,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.7109375,4096.0,1726.0,0.125,2558.6328125,3976.0,1475.0,3377.7109375,4096.0,1726.0,0.125,0.0,176.0,176.0,176.0,0.0,20,41,40.34375,1.0,0.0,0.0,0,0.0,8.0,8,8,3.141351044178009e-05,16.573043920099735,41.99461322464049,27.12515208707191,0.0,0.0,0.0,41.99461322464049,0.0,176,4096,44.62117909640074,0.00010154396295547485,3.0932534877210855,0.003963777795433998,20.186244102194905,67.93068640492857,3.7433579564094543e-05,0.10320686646698309,8.713993504663915e-06,0.0443775632914425,454875,67.93068640492857,3348.0818763447496
15,0.04494132101535797,0.0,0.0,0.0,0.0,0.0,0.34780342944990106,196.75527667999268,200.7890625,126.58916854858398,5e-06,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.9765625,4096.0,1715.0,0.1484375,2569.9921875,4000.0,1337.0,3365.9765625,4096.0,1715.0,0.1484375,0.0,176.0,176.0,176.0,0.0,22,41,40.1328125,1.0,0.0,0.0,0,0.0,8.0,8,8,2.9280781745910645e-05,15.334965329617262,42.23454060219228,27.175261379015865,0.0,0.0,0.0,42.23454060219228,0.0,176,4096,44.56554258428514,9.053759276866913e-05,3.0648509729653597,0.00332481786608696,20.205220436677337,67.86454349383712,3.526173532009125e-05,0.10343752993370038,7.333515374949456e-06,0.04456643963508488,453373,67.86454349383712,3340.2788603534295
16,0.04475634917616844,0.0,0.0,0.0,0.0,0.0,0.34752486049579145,196.75527667999268,200.7890625,126.15230178833008,5e-06,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.7890625,4096.0,1705.0,0.1484375,2580.1875,3952.0,1506.0,3365.7890625,4096.0,1705.0,0.1484375,0.0,176.0,176.0,176.0,0.0,20,41,40.421875,1.0,0.0,0.0,0,0.0,8.0,8,8,3.0161812901496887e-05,15.847169810906053,41.38460904173553,27.17504431256384,0.0,0.0,0.0,41.38460904173553,0.0,176,4096,44.531832018867135,0.00010391511023044586,3.0692848563194275,0.0035255812108516693,20.221073104068637,67.8644705619663,3.643706440925598e-05,0.10336504492322132,7.776748621595436e-06,0.04460376686409066,453349,67.8644705619663,3340.105627038319
17,0.04257425665855408,0.0,0.0,0.0,0.0,0.0,0.3466115047613727,196.75527667999268,200.7890625,126.39065170288086,5e-06,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.359375,4096.0,1658.0,0.0625,2543.15625,3658.0,1498.0,3314.359375,4096.0,1658.0,0.0625,0.0,176.0,176.0,176.0,0.0,20,41,40.546875,1.0,0.0,0.0,0,0.0,8.0,8,8,4.936382174491882e-05,15.603736301884055,36.9529966711998,26.659590676019434,0.0,0.0,0.0,36.9529966711998,0.0,176,3818,39.652471508830786,0.0001028701663017273,3.030060436576605,0.0037498101592063904,19.953089091926813,62.66611512377858,3.6168843507766724e-05,0.09346751471775462,8.393230817041562e-06,0.04466116287257046,446766,62.66611512377858,3564.653713713898
18,0.04342743381857872,0.0,0.0,0.0,0.0,0.0,0.3504834204879047,196.75527667999268,200.7890625,126.4008560180664,5e-06,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3357.5859375,4096.0,1898.0,0.1015625,2557.09375,3952.0,1196.0,3357.5859375,4096.0,1898.0,0.1015625,0.0,176.0,176.0,176.0,0.0,20,41,40.203125,1.0,0.0,0.0,0,0.0,8.0,8,8,5.0945207476615906e-05,13.680763080716133,41.40632864460349,26.995396054480807,0.0,0.0,0.0,41.40632864460349,0.0,176,4096,43.875293200835586,0.00013322383165359497,3.051986064761877,0.0030614472925662994,20.147075543180108,67.1119872406125,3.714859485626221e-05,0.1020899344088726,6.768635996467601e-06,0.04454371011914709,452299,67.1119872406125,3369.733326316207
19,0.04302924871444702,0.0,0.0,0.0,0.0,0.0,0.34806945884077095,196.75527667999268,200.7890625,126.54757308959961,5e-06,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.96875,4096.0,1682.0,0.078125,2596.265625,3890.0,1483.0,3335.96875,4096.0,1682.0,0.078125,0.0,176.0,176.0,176.0,0.0,34,41,40.8046875,1.0,0.0,0.0,0,0.0,8.0,8,8,5.1472336053848267e-05,15.5663261692971,39.657153494656086,27.271059763705125,0.0,0.0,0.0,39.657153494656086,0.0,176,4096,42.08075288683176,9.463168680667877e-05,3.02374061383307,0.0030156318098306656,20.035163233056664,65.16924862004817,3.602541983127594e-05,0.09854884939445945,6.708380737813249e-06,0.044568936656470874,449532,65.16924862004817,3448.957978792082
20,0.042596567422151566,0.0,0.0,0.0,0.0,0.0,0.34971189666308977,196.75527667999268,201.216796875,126.85241317749023,5e-06,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3420.734375,4096.0,1699.0,0.140625,2554.28125,3952.0,1190.0,3420.734375,4096.0,1699.0,0.140625,0.0,176.0,176.0,176.0,0.0,18,41,40.234375,1.0,0.0,0.0,0,0.0,8.0,8,8,3.343261778354645e-05,13.304900562390685,40.70362198911607,26.974741930520395,0.0,0.0,0.0,40.70362198911607,0.0,176,4096,43.26214932091534,8.37612897157669e-05,3.1148229632526636,0.0029977988451719284,20.462931776419282,66.86818547733128,3.528408706188202e-05,0.0988049654015159,6.511546596461044e-06,0.04444772336107685,460382,66.86818547733128,3442.459195756645
21,0.04682481661438942,0.00010796118522193865,-1.6468971807626076e-05,0.0,0.0018413420475553721,0.105224609375,0.3451423764748929,196.75527667999268,201.216796875,127.11241149902344,5e-06,21,0,0.0078125,1.0,0.0,0.0078125,1.0,0.0,-0.009924579411745071,2.4748666286468506,-0.35355237126350403,-0.009924579411745071,2.4748666286468506,-0.35355237126350403,3375.4609375,4096.0,1719.0,0.078125,2562.6953125,4000.0,1319.0,3375.4609375,4096.0,1719.0,0.078125,0.0,176.0,176.0,176.0,0.0,20,41,40.109375,0.9375,0.0625,0.0625,1,0.0625,8.0,8,8,3.001466393470764e-05,13.838884206488729,42.13930667005479,27.344974395804456,0.0,0.0,0.0,42.13930667005479,0.0,176,4096,44.69921233318746,9.597465395927429e-05,3.09172135964036,0.0032127946615219116,20.394359476864338,68.22026376053691,3.630109131336212e-05,0.10345626947520468,7.067502285639298e-06,0.04486349032608574,454587,68.22026376053691,3331.7593259069386
22,0.03965305536985397,0.0,2.3508299932473165e-05,0.0,0.0,0.0,0.35029872015363805,196.75527667999268,201.216796875,126.77304077148438,5e-06,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3324.6328125,4096.0,2064.0,0.1171875,2587.5703125,3905.0,1730.0,3324.6328125,4096.0,2064.0,0.1171875,0.0,176.0,176.0,176.0,0.0,38,41,40.8359375,1.0,0.0,0.0,0,0.0,8.0,8,8,3.178045153617859e-05,18.225074749439955,40.06414579972625,27.2395526762557,0.0,0.0,0.0,40.06414579972625,0.0,176,4096,42.32161021232605,0.00011092983186244965,3.0337969679385424,0.0030853115022182465,19.794768568128347,65.19469530880451,3.606453537940979e-05,0.09945085620904105,6.8856110886608595e-06,0.044176763951447054,448081,65.19469530880451,3436.483581045948
23,0.04240700975060463,0.0,-1.581551373419643e-06,0.0,0.0,0.0,0.34918756894927744,196.75527667999268,201.216796875,127.02960586547852,5e-06,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3372.671875,4096.0,1712.0,0.1171875,2548.5859375,3984.0,1247.0,3372.671875,4096.0,1712.0,0.1171875,0.0,176.0,176.0,176.0,0.0,24,41,40.40625,1.0,0.0,0.0,0,0.0,8.0,8,8,3.0355527997016907e-05,13.98538432829082,41.177287666127086,26.90538301008928,0.0,0.0,0.0,41.177287666127086,0.0,176,4096,43.60021691583097,8.654594421386719e-05,3.0715448446571827,0.003022642806172371,20.16636947542429,66.86710468120873,3.473460674285889e-05,0.1009960966496124,6.654432349629859e-06,0.04439682424195736,454230,66.86710468120873,3396.513144733554
