step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
11,0.07943309098482132,0.002097636606777087,2.953838702524081e-07,1.3113834143041458e-06,0.002720243821386248,0.60546875,0.3286101145288261,215.50272130966187,219.556640625,139.34232330322266,5e-06,11,0,0.6015625,1.0,0.0,0.6015625,1.0,0.0,-0.4510344862937927,2.4748666286468506,-2.4748666286468506,-0.4510344862937927,2.4748666286468506,-2.4748666286468506,2346.3671875,8192.0,102.0,0.0546875,2346.3671875,8192.0,102.0,0.0546875,0.0,1240.6875,1751.0,812.0,0.0,3,62,22.3671875,0.125,0.875,4.8125,8,4.8125,8.0,8,8,6.646662950515747e-05,1.1454565078020096,83.66482871770859,23.369322247206583,0.0,0.0,0.0,83.66482871770859,0.0,1444,8192,85.96054479852319,9.554252028465271e-05,3.609680999070406,0.0038290880620479584,23.50312919355929,113.10296856239438,3.7183985114097595e-05,0.2862155419732072,8.3396415976024e-06,0.05118912668506171,459143,113.10296856239438,2029.7566272396696,,,,,,,
12,0.07682685554027557,0.0032614332230878063,-0.0002667138091396737,3.819850292074989e-06,0.003162094173603691,0.658203125,0.3340617934654686,215.50272130966187,219.556640625,139.18973541259766,5e-06,12,0,0.4921875,1.0,0.0,0.4921875,1.0,0.0,-0.3999210298061371,2.4748666286468506,-2.4748666286468506,-0.3999210298061371,2.4748666286468506,-2.4748666286468506,2711.4140625,8192.0,116.0,0.078125,2711.4140625,8192.0,116.0,0.078125,0.0,1179.25,1438.0,860.0,0.0,3,62,23.9375,0.25,0.75,3.9375,8,3.9375,8.0,8,8,3.729574382305145e-05,1.3189691975712776,86.59828504547477,27.951583059926634,0.0,0.0,0.0,86.59828504547477,0.0,860,8192,88.88213741406798,0.00010276585817337036,3.86314832046628,0.003648962825536728,25.448312930762768,118.2234076820314,3.60589474439621e-05,0.2560994678574314,7.32716102355745e-06,0.05110051692405251,498005,118.2234076820314,2106.203034425352,,,,,,,
13,0.07150441408157349,0.0023575828490720596,-4.225350356534818e-05,3.895115810337302e-06,0.011970136169111356,0.763671875,0.33748051933523304,215.50272130966187,219.556640625,139.61392211914062,5e-06,13,0,0.5,1.0,0.0,0.5,1.0,0.0,-0.44640272855758667,2.4748666286468506,-2.4748666286468506,-0.44640272855758667,2.4748666286468506,-2.4748666286468506,3157.4296875,8192.0,121.0,0.0859375,3157.4296875,8192.0,121.0,0.0859375,0.0,1277.0,1889.0,793.0,0.0,3,62,28.1328125,0.1875,0.8125,4.0,8,4.0,8.0,8,8,3.2221898436546326e-05,1.3446076977998018,88.54851981811225,32.82844606479921,0.0,0.0,0.0,88.54851981811225,0.0,1028,8192,90.89076095633209,9.746663272380829e-05,4.321796860545874,0.0036942586302757263,29.156069338321686,124.39890187978745,3.63178551197052e-05,0.22489307451010163,6.50847968801605e-06,0.051366648646548906,567607,124.39890187978745,2281.3987560296373,,,,,,,
14,0.07076597958803177,0.0010534059056226397,1.2890604921267368e-05,3.006291592555499e-06,-0.0013649834581883624,0.8017578125,0.3449068796987077,215.50272130966187,219.556640625,140.54496383666992,5e-06,14,0,0.421875,1.0,0.0,0.421875,1.0,0.0,-0.10502012073993683,2.4748666286468506,-2.4748666286468506,-0.10502012073993683,2.4748666286468506,-2.4748666286468506,3343.5078125,8192.0,126.0,0.1484375,3343.5078125,8192.0,126.0,0.1484375,0.0,1145.0625,1880.0,833.0,0.0,3,62,29.1328125,0.4375,0.5625,3.375,8,3.375,8.0,8,8,6.296113133430481e-05,1.353639118373394,90.17574417963624,35.130982811708236,0.0,0.0,0.0,90.17574417963624,0.0,840,8192,92.35582423210144,9.530037641525269e-05,4.372135231271386,0.0037364065647125244,29.1278884280473,125.88549521192908,3.713928163051605e-05,0.21580026644944247,6.503334971833884e-06,0.05069802019373391,574537,125.88549521192908,2281.982523215892,,,,,,,
15,0.0699377954006195,0.0014918891865818296,-0.00017032412625894722,2.2264822518991423e-06,0.0057382138329558074,0.689453125,0.33875738141039685,215.50272130966187,219.556640625,139.23816680908203,5e-06,15,0,0.4375,1.0,0.0,0.4375,1.0,0.0,-0.29460829496383667,2.4748666286468506,-1.6201815605163574,-0.29460829496383667,2.4748666286468506,-1.6201815605163574,2908.6796875,8192.0,93.0,0.109375,2908.6796875,8192.0,93.0,0.109375,0.0,1150.125,1967.0,786.0,0.0,3,62,25.4296875,0.375,0.625,3.5,8,3.5,8.0,8,8,6.251595914363861e-05,1.0341522805392742,90.10821063816547,30.292644507266232,0.0,0.0,0.0,90.10821063816547,0.0,1792,8192,92.6261229570955,0.00011857971549034119,4.015306448563933,0.0037450753152370453,26.726224007084966,123.40735373273492,3.8018450140953064e-05,0.2487869629344701,7.208624990110322e-06,0.05144337831736361,519527,123.40735373273492,2104.9272360427854,,,,,,,
16,0.07462085783481598,0.0014663312686025165,0.00035229887240006974,3.353878412326594e-06,0.006219886214239523,0.4580078125,0.34006074614570836,215.50272130966187,219.556640625,139.5818748474121,5e-06,16,0,0.6015625,1.0,0.0,0.6015625,1.0,0.0,-0.18673253059387207,1.20761239528656,-2.4748666286468506,-0.18673253059387207,1.20761239528656,-2.4748666286468506,2614.8984375,8192.0,91.0,0.09375,2614.8984375,8192.0,91.0,0.09375,0.0,1183.6875,1899.0,788.0,0.0,3,62,24.578125,0.3125,0.6875,4.8125,8,4.8125,8.0,8,8,3.471970558166504e-05,0.9651858601719141,85.9694301802665,26.53783244380611,0.0,0.0,0.0,85.9694301802665,0.0,1084,8192,88.19464937597513,0.0001006200909614563,3.7699502035975456,0.003694375976920128,24.31498558819294,116.31053143925965,3.8528814911842346e-05,0.2634980725708609,7.5981727923428086e-06,0.05000829993931323,486219,116.31053143925965,2090.1761602470024,,,,,,,
17,0.09240619093179703,0.0012023020717606414,0.00028846092800449696,2.268104253744241e-06,0.009403037067386322,0.4775390625,0.3168718879551796,215.50272130966187,219.556640625,139.67156982421875,5e-06,17,0,0.640625,1.0,0.0,0.640625,1.0,0.0,-0.3627927005290985,1.20761239528656,-2.4748666286468506,-0.3627927005290985,1.20761239528656,-2.4748666286468506,1336.5234375,8192.0,127.0,0.0234375,1336.5234375,8192.0,127.0,0.0234375,0.0,1228.1875,1704.0,940.0,0.0,3,62,12.9140625,0.25,0.75,5.125,8,5.125,8.0,8,8,6.321445107460022e-05,1.3490552064031363,76.12066393904388,12.714301703701494,0.0,0.0,0.0,76.12066393904388,0.0,940,8192,78.4096370562911,0.0005970187485218048,2.645842147991061,0.0037317872047424316,16.278341943398118,97.3706934005022,3.816746175289154e-05,0.4583348651544124,1.1367592000628823e-05,0.04958630798243625,328283,97.3706934005022,1685.7382264379912,,,,,,,
18,0.08691907674074173,0.0016673447826178744,-2.5176638587254274e-05,9.349009815196041e-07,0.003941758302971721,0.7109375,0.31943562378743734,215.50272130966187,219.556640625,139.87742233276367,5e-06,18,0,0.6640625,1.0,0.0,0.6640625,1.0,0.0,-0.3571639955043793,2.4748666286468506,-2.4748666286468506,-0.3571639955043793,2.4748666286468506,-2.4748666286468506,1539.828125,8192.0,110.0,0.0390625,1539.828125,8192.0,110.0,0.0390625,0.0,1095.8125,1436.0,784.0,0.0,3,62,14.3046875,0.1875,0.8125,5.3125,8,5.3125,8.0,8,8,6.2527135014534e-05,1.23075270652771,75.31423175148666,14.352796564984601,0.0,0.0,0.0,75.31423175148666,0.0,1041,8192,77.5760443303734,0.00010294653475284576,2.7490600794553757,0.003688415512442589,17.15453202649951,97.50934291444719,3.889016807079315e-05,0.39359123040504423,1.0933108982169269e-05,0.050849034646757815,337362,97.50934291444719,1729.895771608239,,,,,,,
19,0.07295874506235123,0.0017794332416087855,-0.00023909573189939692,2.6903585990112333e-06,0.002232796119642444,0.69140625,0.34320769059675715,215.50272130966187,219.556640625,139.8390121459961,5e-06,19,0,0.46875,1.0,0.0,0.46875,1.0,0.0,-0.2890114486217499,2.4748666286468506,-1.20761239528656,-0.2890114486217499,2.4748666286468506,-1.20761239528656,3637.21875,8192.0,115.0,0.0859375,3637.21875,8192.0,115.0,0.0859375,0.0,1260.9375,1843.0,831.0,0.0,3,62,36.5390625,0.25,0.75,3.75,8,3.75,8.0,8,8,6.511248648166656e-05,1.2975293193012476,88.66250970773399,37.82815654326987,0.0,0.0,0.0,88.66250970773399,0.0,1066,8192,90.99396133236587,0.0001023169606924057,4.722247546538711,0.0038837604224681854,31.680144503712654,127.42617315985262,3.570877015590668e-05,0.19544887777484057,6.194550919140789e-06,0.05052944747020986,626964,127.42617315985262,2460.1068385436442,,,,,,,
20,0.06371919065713882,0.0016327427056239685,-0.00016593547866250447,1.3451936411001952e-05,0.004211395265883766,0.5673828125,0.34738785291831664,215.50272130966187,219.556640625,139.4900665283203,5e-06,20,0,0.3515625,1.0,0.0,0.3515625,1.0,0.0,-0.1393863409757614,2.4748666286468506,-2.4748666286468506,-0.1393863409757614,2.4748666286468506,-2.4748666286468506,3588.65625,8192.0,179.0,0.0546875,3588.65625,8192.0,179.0,0.0546875,0.0,1138.9375,1944.0,779.0,0.0,3,62,34.7421875,0.5,0.5,2.8125,8,2.8125,8.0,8,8,3.407523036003113e-05,2.060021238401532,91.9143547564745,37.15876023094461,0.0,0.0,0.0,91.9143547564745,0.0,1072,8192,94.27756666950881,0.00010250136256217957,4.545298293232918,0.0040163155645132065,30.228870877996087,129.08156868442893,3.914348781108856e-05,0.20524214031520507,6.63709003079197e-06,0.04995417673829195,605132,129.08156868442893,2343.9907268224765,,,,,,,
