step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_adv,timing_per_token_ms_update_actor,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
279,0.05501280352473259,0.002370066835283069,-2.756063116748919e-05,2.4227315748248657e-05,-0.005954803884378634,1.17578125,0.3094929983349047,219.47975540161133,224.244140625,123.12919616699219,5e-06,279,0,0.609375,1.0,0.0,0.609375,1.0,0.0,-0.2709003686904907,2.4748666286468506,-2.4748666286468506,-0.2709003686904907,2.4748666286468506,-2.4748666286468506,1171.3671875,4529.0,115.0,0.0,1171.3671875,4529.0,115.0,0.0,0.0,1207.9375,1742.0,826.0,0.0,3,62,25.078125,0.125,0.875,4.875,8,4.875,8.0,8,8,3.48556786775589e-05,1.2142544873058796,38.68185695260763,11.05814351682784,0.0,0.0,0.0,38.68185695260763,0.0,1105,4415,40.66183659993112,9.13124531507492e-05,2.4601567536592484,0.003732820972800255,14.720293713733554,57.87143240310252,3.6695972084999084e-05,0.27119642911882563,1.225680090625299e-05,0.04833441267220779,304551,57.87143240310252,2631.2723510855494,,,,,,,
280,0.06356167048215866,0.0016542267494514817,-0.00010762765214167302,2.074475946756138e-05,-0.005564086415688507,1.255859375,0.30533660745389235,219.47975540161133,224.244140625,123.25365829467773,5e-06,280,0,0.6796875,1.0,0.0,0.6796875,1.0,0.0,-0.21811886131763458,2.4748666286468506,-2.4748666286468506,-0.21811886131763458,2.4748666286468506,-2.4748666286468506,1008.359375,5862.0,104.0,0.0,1008.359375,5862.0,104.0,0.0,0.0,1174.5625,1742.0,783.0,0.0,3,62,19.4375,0.125,0.875,5.4375,8,5.4375,8.0,8,8,3.351084887981415e-05,1.1677843481302261,51.9961570110172,9.100458022658131,0.0,0.0,0.0,51.9961570110172,0.0,1727,5862,54.16899850405753,0.00011530891060829163,2.336650123819709,0.004121359437704086,13.804693389683962,70.3437784537673,4.1641294956207275e-05,0.41968697996480614,1.4750010513804199e-05,0.04940587583186226,279414,70.3437784537673,1986.060502732604,,,,,,,
281,0.06402347981929779,0.0009258078953280346,0.00021660078391505522,5.473813416756457e-06,0.003121236353763379,0.703125,0.3019821732541189,219.47975540161133,224.244140625,123.35269165039062,5e-06,281,0,0.8203125,1.0,0.0,0.8203125,1.0,0.0,-0.16257451474666595,0.935412585735321,-2.4748666286468506,-0.16257451474666595,0.935412585735321,-2.4748666286468506,710.296875,3885.0,104.0,0.0,710.296875,3885.0,104.0,0.0,0.0,1216.5,2026.0,860.0,0.0,3,62,15.0625,0.125,0.875,6.5625,8,6.5625,8.0,8,8,3.710947930812836e-05,1.107205081731081,32.137012192979455,6.563254317035899,0.0,0.0,0.0,32.137012192979455,0.0,1034,3885,34.137313986197114,0.000116787850856781,2.111482761800289,0.004092473536729813,11.901602253317833,48.18323349021375,3.994256258010864e-05,0.37547365742974015,1.6593575545269482e-05,0.04825691218958696,246630,48.18323349021375,2559.2927470308914,,,,,,,
282,0.05912065878510475,0.0037244322011247277,-6.97412142471876e-05,1.3272260503072175e-05,-0.0038000138592906296,1.076171875,0.3050253850059083,219.47975540161133,224.244140625,123.50789260864258,5e-06,282,0,0.765625,1.0,0.0,0.765625,1.0,0.0,-0.2911815643310547,1.6201815605163574,-2.4748666286468506,-0.2911815643310547,1.6201815605163574,-2.4748666286468506,1054.28125,4086.0,88.0,0.0,1054.28125,4086.0,88.0,0.0,0.0,1143.75,1775.0,787.0,0.0,3,62,22.328125,0.0625,0.9375,6.125,8,6.125,8.0,8,8,3.797747194766998e-05,0.9617166686803102,35.96223687008023,9.866011703605182,0.0,0.0,0.0,35.96223687008023,0.0,1077,3914,37.91296559013426,0.00011673755943775177,2.3403546027839184,0.00425061397254467,13.6510119587183,53.93680606037378,4.202313721179962e-05,0.28094499800022427,1.5108029815547543e-05,0.048520024875663946,281348,53.93680606037378,2608.126255057401,,,,,,,
283,0.061177223920822144,0.0018447352485964075,-5.644301738882973e-05,1.5099532220119727e-05,0.0018435720121487975,0.953125,0.29659751845568133,219.47975540161133,224.244140625,123.01791000366211,5e-06,283,0,0.7265625,1.0,0.0,0.7265625,1.0,0.0,-0.2849007844924927,1.6201815605163574,-2.4748666286468506,-0.2849007844924927,1.6201815605163574,-2.4748666286468506,856.984375,4905.0,104.0,0.0,856.984375,4905.0,104.0,0.0,0.0,1121.3125,1841.0,871.0,0.0,3,62,18.5,0.125,0.875,5.8125,8,5.8125,8.0,8,8,7.87191092967987e-05,1.130060164257884,38.11738903261721,7.688670564049971,0.0,0.0,0.0,38.11738903261721,0.0,1176,4905,40.21792102791369,0.00012385286390781403,2.1474852841347456,0.0042376164346933365,12.589607806876302,54.98926480859518,4.078075289726257e-05,0.36663738242669325,1.6734787793688292e-05,0.04971766989786157,253222,54.98926480859518,2302.467589641422,,,,,,,
284,0.06729231774806976,0.001749943126924336,-3.8369067397070467e-05,5.565259698414593e-06,0.000698844283760991,1.09375,0.31365814385379764,219.47975540161133,224.244140625,123.12098693847656,5e-06,284,0,0.6875,1.0,0.0,0.6875,1.0,0.0,-0.2532726526260376,2.4748666286468506,-2.4748666286468506,-0.2532726526260376,2.4748666286468506,-2.4748666286468506,1253.0,6244.0,95.0,0.0,1253.0,6244.0,95.0,0.0,0.0,1301.625,1874.0,805.0,0.0,3,62,23.96875,0.0625,0.9375,5.5,8,5.5,8.0,8,8,3.504939377307892e-05,0.9913451001048088,54.41342302598059,11.76906746858731,0.0,0.0,0.0,54.41342302598059,0.0,1374,6244,56.57063950225711,0.0001233462244272232,2.5976192597299814,0.004101091995835304,15.892043817788363,75.09221356734633,4.174187779426575e-05,0.3527199689635943,1.2541872571302369e-05,0.04860071138678733,326992,75.09221356734633,2177.2696826065576,,,,,,,
285,0.06067796051502228,0.0015894442185526714,-4.18199324485613e-05,2.5219917461072328e-06,0.003292950597824529,0.8984375,0.2967999713204056,219.47975540161133,224.244140625,123.21075057983398,5e-06,285,0,0.703125,1.0,0.0,0.703125,1.0,0.0,-0.2164747565984726,1.20761239528656,-2.4748666286468506,-0.2164747565984726,1.20761239528656,-2.4748666286468506,723.8203125,4251.0,81.0,0.0,723.8203125,4251.0,81.0,0.0,0.0,1117.625,1700.0,779.0,0.0,3,62,15.125,0.1875,0.8125,5.625,8,5.625,8.0,8,8,3.636255860328674e-05,0.8800492379814386,31.73132877610624,6.479394157708157,0.0,0.0,0.0,31.73132877610624,0.0,979,4026,33.68478215299547,0.0001253318041563034,2.0418209433555603,0.0040953438729047775,11.55663513019681,47.32002532295883,3.9752572774887085e-05,0.3635741578753734,1.7374870592073895e-05,0.049030080525219275,235705,47.32002532295883,2490.541777939837,,,,,,,
286,0.06371454894542694,0.0012581903429236263,-6.09419784751708e-05,0.0,0.013224629161413759,0.796875,0.2933137861076093,219.47975540161133,224.244140625,123.0602912902832,5e-06,286,0,0.8828125,1.0,0.0,0.8828125,1.0,0.0,-0.26945415139198303,0.5400605201721191,-2.4748666286468506,-0.26945415139198303,0.5400605201721191,-2.4748666286468506,690.9453125,4718.0,117.0,0.0,690.9453125,4718.0,117.0,0.0,0.0,1023.6875,1758.0,787.0,0.0,3,62,13.65625,0.0625,0.9375,7.0625,8,7.0625,8.0,8,8,8.217059075832367e-05,1.2907734960317612,37.59209902025759,6.753109265337116,0.0,0.0,0.0,37.59209902025759,0.0,965,4718,39.588423412293196,0.00012336485087871552,1.950115216895938,0.004205051809549332,10.775905629619956,52.34680290147662,4.1546300053596497e-05,0.44762523504136315,1.9159768215449425e-05,0.049099003657032785,219473,52.34680290147662,2096.3362405635,,,,,,,
287,0.07555724680423737,0.000751842264435254,-0.00011983554145444941,5.002400939702056e-06,0.005697568180039525,0.681640625,0.2798283662469542,219.47975540161133,224.244140625,123.1068344116211,5e-06,287,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.13356661796569824,0.7245674133300781,-1.20761239528656,-0.13356661796569824,0.7245674133300781,-1.20761239528656,312.125,3709.0,103.0,0.0,312.125,3709.0,103.0,0.0,0.0,1144.75,1546.0,867.0,0.0,3,62,6.03125,0.4375,0.5625,4.3125,8,4.3125,8.0,8,8,4.1682273149490356e-05,1.1440071780234575,27.202460143715143,2.891422613232862,0.0,0.0,0.0,27.202460143715143,0.0,1077,3709,29.202188340947032,0.00011665374040603638,1.721366100013256,0.0040764883160591125,9.404358765110373,40.361997501924634,3.820657730102539e-05,0.7309318267157346,2.1860190455057447e-05,0.05043092430882869,186480,40.361997501924634,2310.0937954211486,,,,,,,
288,0.06173786148428917,0.0024932385531428736,-0.0004299565807741601,3.2554865356360096e-05,-0.009191347809974104,1.31640625,0.3068835576104817,219.47975540161133,224.244140625,123.2566032409668,5e-06,288,0,0.5078125,1.0,0.0,0.5078125,1.0,0.0,-0.31448620557785034,1.20761239528656,-2.4748666286468506,-0.31448620557785034,1.20761239528656,-2.4748666286468506,919.2578125,4324.0,73.0,0.0,919.2578125,4324.0,73.0,0.0,0.0,1361.6875,1961.0,860.0,0.0,3,62,20.34375,0.3125,0.6875,4.0625,8,4.0625,8.0,8,8,3.830902278423309e-05,0.7705821897834539,36.417121874168515,8.512331376390648,0.0,0.0,0.0,36.417121874168515,0.0,1084,4324,38.35137175582349,0.00011761114001274109,2.395845305174589,0.004015782848000526,14.105183653533459,54.88476611673832,3.980472683906555e-05,0.3259369545389325,1.3754518062345746e-05,0.048311876084591636,291961,54.88476611673832,2659.763543302775,,,,,,,
289,0.0732068195939064,0.001675041792623233,0.0001716076760658325,6.778741862945026e-06,0.006985098880250007,0.734375,0.29929392560071116,219.47975540161133,224.244140625,123.3332748413086,5e-06,289,0,0.5859375,1.0,0.0,0.5859375,1.0,0.0,-0.2942561209201813,1.6201815605163574,-2.4748666286468506,-0.2942561209201813,1.6201815605163574,-2.4748666286468506,670.453125,4456.0,90.0,0.0,670.453125,4456.0,90.0,0.0,0.0,1271.8125,1879.0,876.0,0.0,3,62,12.96875,0.3125,0.6875,4.6875,8,4.6875,8.0,8,8,3.663264214992523e-05,0.9901454988867044,36.067762890830636,6.038813735896838,0.0,0.0,0.0,36.067762890830636,0.0,1879,4456,38.369163220748305,0.00011900439858436584,2.1469527650624514,0.0041908398270606995,12.307414781302214,52.85575280897319,3.8489699363708496e-05,0.44709924748593893,1.6857084699170185e-05,0.04950490640481965,248610,52.85575280897319,2351.778063766354,,,,,,,
290,0.06929118186235428,0.0007647641605217359,-0.0003142105913411797,0.0,0.003382789553143084,0.6796875,0.2978540391940966,219.47975540161133,224.244140625,123.4911880493164,5e-06,290,0,0.8515625,1.0,0.0,0.8515625,1.0,0.0,-0.10887067019939423,0.5400605201721191,-2.4748666286468506,-0.10887067019939423,0.5400605201721191,-2.4748666286468506,508.9453125,2876.0,104.0,0.0,508.9453125,2876.0,104.0,0.0,0.0,1288.625,1916.0,850.0,0.0,3,62,10.875,0.125,0.875,6.8125,8,6.8125,8.0,8,8,3.6304816603660583e-05,1.1086742859333754,23.321830667555332,4.907003365951823,0.0,0.0,0.0,23.321830667555332,0.0,1916,2876,25.5440319404006,0.00011909939348697662,2.0131504479795694,0.003854013979434967,11.063972247764468,38.65335442684591,4.1132792830467224e-05,0.3921103989623241,1.6750100958476795e-05,0.04808562011988608,230089,38.65335442684591,2976.313484453969,,,,,,,
291,0.06020154058933258,0.0021633206051774323,6.693961398696047e-05,1.2308747500355821e-05,-0.001842680328991264,1.0625,0.3007993677255042,219.47975540161133,224.244140625,123.1363525390625,5e-06,291,0,0.640625,1.0,0.0,0.640625,1.0,0.0,-0.23524054884910583,2.4748666286468506,-2.4748666286468506,-0.23524054884910583,2.4748666286468506,-2.4748666286468506,821.0546875,4917.0,96.0,0.0,821.0546875,4917.0,96.0,0.0,0.0,1235.8125,1835.0,859.0,0.0,3,62,17.890625,0.1875,0.8125,5.125,8,5.125,8.0,8,8,7.638521492481232e-05,1.0656773913651705,41.64123355410993,7.34885192065849,0.0,0.0,0.0,41.64123355410993,0.0,1634,4917,43.70826077647507,0.0001234542578458786,2.243340464308858,0.0038767457008361816,12.907118750736117,58.89090368524194,7.102824747562408e-05,0.4158928662303161,1.472485728385546e-05,0.049024490182415295,263279,58.89090368524194,2235.3112579759727,,,,,,,
292,0.06625452637672424,0.002089432848151773,0.00035058496030160313,5.189376906855614e-06,0.007811616953404155,1.16015625,0.3015969842564924,219.47975540161133,224.244140625,123.08704376220703,5e-06,292,0,0.828125,1.0,0.0,0.828125,1.0,0.0,-0.39319297671318054,1.20761239528656,-2.4748666286468506,-0.39319297671318054,1.20761239528656,-2.4748666286468506,737.484375,3583.0,104.0,0.0,737.484375,3583.0,104.0,0.0,0.0,1268.875,1895.0,786.0,0.0,3,62,16.96875,0.0625,0.9375,6.625,8,6.625,8.0,8,8,4.0650367736816406e-05,1.1371205132454634,29.164908062666655,6.762659546293435,0.0,0.0,0.0,29.164908062666655,0.0,1658,3583,31.314978955313563,0.0011304039508104324,2.163400325924158,0.0042337216436862946,12.462947832420468,45.97679540142417,4.0609389543533325e-05,0.3317335002363775,1.6485556253499786e-05,0.04852908265289458,256814,45.97679540142417,2792.865376520402,,,,,,,
293,0.06422685086727142,0.0008409519105043728,-8.011741851987608e-05,0.0,0.010923755879048258,0.791015625,0.28125010755449803,219.47975540161133,224.244140625,123.20908737182617,5e-06,293,0,0.734375,1.0,0.0,0.734375,1.0,0.0,-0.22032834589481354,0.35355237126350403,-2.4748666286468506,-0.22032834589481354,0.35355237126350403,-2.4748666286468506,344.296875,2470.0,71.0,0.0,344.296875,2470.0,71.0,0.0,0.0,1174.0625,1608.0,781.0,0.0,3,61,7.921875,0.25,0.75,5.875,8,5.875,8.0,8,8,3.279559314250946e-05,0.7573396880179644,18.47603794746101,3.252617684600409,0.0,0.0,0.0,18.47603794746101,0.0,1166,2417,20.69207777827978,0.00012288428843021393,1.7565943952649832,0.004042988643050194,9.73742499947548,32.21881792321801,3.927759826183319e-05,0.4695275193619193,2.0802617149730867e-05,0.05010252122189596,194350,32.21881792321801,3016.0945144412726,,,,,,,
294,0.06706292182207108,0.0009563405765220523,0.00022656415853816725,0.0,0.008282988448627293,0.798828125,0.28342402721521287,219.47975540161133,224.244140625,123.02211380004883,5e-06,294,0,0.7890625,1.0,0.0,0.7890625,1.0,0.0,-0.17498213052749634,0.5400605201721191,-2.4748666286468506,-0.17498213052749634,0.5400605201721191,-2.4748666286468506,401.109375,2676.0,70.0,0.0,401.109375,2676.0,70.0,0.0,0.0,1091.125,1997.0,791.0,0.0,3,62,9.078125,0.1875,0.8125,6.3125,8,6.3125,8.0,8,8,7.749535143375397e-05,0.7334055509418249,19.98882581293583,3.807931099072448,0.0,0.0,0.0,19.98882581293583,0.0,1344,2676,22.10432691499591,0.00012443773448467255,1.7358563654124737,0.004021551460027695,9.489348769187927,33.360851127654314,3.984570503234863e-05,0.4305310840052181,2.1054581845741467e-05,0.04968089363259755,191006,33.360851127654314,2862.7267222458017,,,,,,,
295,0.062490206211805344,0.0018234187518828548,-0.000254649499424886,2.020019553583552e-05,0.0014119845363893546,1.009765625,0.3164563693759097,219.47975540161133,224.244140625,123.01357650756836,5e-06,295,0,0.6953125,1.0,0.0,0.6953125,1.0,0.0,-0.1978379786014557,1.20761239528656,-1.6201815605163574,-0.1978379786014557,1.20761239528656,-1.6201815605163574,1334.046875,4691.0,131.0,0.0,1334.046875,4691.0,131.0,0.0,0.0,1191.3125,1940.0,784.0,0.0,3,62,27.046875,0.125,0.875,5.5625,8,5.5625,8.0,8,8,3.3523887395858765e-05,1.3942586034536362,43.12394076958299,12.587824236703455,0.0,0.0,0.0,43.12394076958299,0.0,1864,4691,45.274619940668344,0.0001314803957939148,2.5941834673285484,0.00406779907643795,15.636156417429447,63.53860107250512,4.221498966217041e-05,0.26513908537619524,1.2584220922882109e-05,0.048372312162963955,323246,63.53860107250512,2543.697803726728,,,,,,,
296,0.06625756621360779,0.0011276639415882528,-1.898506134523359e-05,3.7524014260270633e-06,0.009620020289730746,0.83203125,0.2891147410515499,219.47975540161133,224.244140625,123.16449356079102,5e-06,296,0,0.8125,1.0,0.0,0.8125,1.0,0.0,-0.19795092940330505,0.935412585735321,-2.4748666286468506,-0.19795092940330505,0.935412585735321,-2.4748666286468506,522.5078125,3640.0,96.0,0.0,522.5078125,3640.0,96.0,0.0,0.0,1097.6875,1440.0,781.0,0.0,3,62,11.15625,0.125,0.875,6.5,8,6.5,8.0,8,8,3.1812116503715515e-05,1.0202643889933825,29.917632397264242,4.7463222420046804,0.0,0.0,0.0,29.917632397264242,0.0,1031,3640,31.99216873385012,0.00012965314090251923,1.8418698590248823,0.0038751084357500076,10.297864692285657,44.16188385151327,4.0372833609580994e-05,0.4783446529485223,1.868557723919284e-05,0.04965578365014662,207385,44.16188385151327,2348.0089832364984,,,,,,,
297,0.05996318906545639,0.0029425032007566188,-1.7952512052943348e-05,1.1308882449156954e-05,-0.00873153391876258,1.19921875,0.3028352193959235,219.47975540161133,224.244140625,123.35016250610352,5e-06,297,0,0.703125,1.0,0.0,0.703125,1.0,0.0,-0.35928764939308167,1.6201815605163574,-2.4748666286468506,-0.35928764939308167,1.6201815605163574,-2.4748666286468506,1025.2421875,4073.0,104.0,0.0,1025.2421875,4073.0,104.0,0.0,0.0,1137.5,1795.0,816.0,0.0,3,62,22.890625,0.125,0.875,5.625,8,5.625,8.0,8,8,3.2803043723106384e-05,1.1719041150063276,34.58801630139351,9.300318237146712,0.0,0.0,0.0,34.58801630139351,0.0,1043,4073,36.67516089975834,0.00012753531336784363,2.294920314103365,0.005030160769820213,13.51399908028543,52.51651210524142,4.0512531995773315e-05,0.27947025397778225,1.8170511141527552e-05,0.048816783814982535,276831,52.51651210524142,2635.6567572998706,,,,,,,
298,0.06730437278747559,0.0020723815978271887,-0.0005011475627725304,1.2173428331152536e-05,0.0009296051284763962,0.95703125,0.29875332206149746,219.47975540161133,224.244140625,123.50870895385742,5e-06,298,0,0.859375,1.0,0.0,0.859375,1.0,0.0,-0.15110312402248383,2.4748666286468506,-2.4748666286468506,-0.15110312402248383,2.4748666286468506,-2.4748666286468506,627.75,3796.0,76.0,0.0,627.75,3796.0,76.0,0.0,0.0,1228.875,2031.0,781.0,0.0,3,62,12.90625,0.0625,0.9375,6.875,8,6.875,8.0,8,8,3.173947334289551e-05,0.8230013251304626,30.452524349093437,5.688022804621141,0.0,0.0,0.0,30.452524349093437,0.0,1440,3772,32.70444600097835,0.00012087635695934296,2.0664350166916847,0.003913160413503647,11.612828053534031,46.41546008735895,4.213675856590271e-05,0.40701471028696673,1.6466203854034735e-05,0.04886566709391214,237648,46.41546008735895,2560.0090955978953,,,,,,,
299,0.06290525197982788,0.0022010547763784416,0.0004892016654309828,1.9300360236229608e-05,-0.0032130245090229437,1.041015625,0.3032806186317034,219.47975540161133,224.244140625,123.04342269897461,5e-06,299,0,0.6015625,1.0,0.0,0.6015625,1.0,0.0,-0.2002214789390564,2.4748666286468506,-2.4748666286468506,-0.2002214789390564,2.4748666286468506,-2.4748666286468506,846.328125,4855.0,91.0,0.0,846.328125,4855.0,91.0,0.0,0.0,1259.8125,1967.0,779.0,0.0,3,62,16.484375,0.25,0.75,4.8125,8,4.8125,8.0,8,8,7.539615035057068e-05,1.0089799594134092,41.24965379945934,7.515352303365944,0.0,0.0,0.0,41.24965379945934,0.0,1049,4855,43.45642038434744,0.0001109931617975235,2.2300215288996696,0.0038104914128780365,13.274208454415202,58.99149335362017,3.845430910587311e-05,0.4011485311949362,1.413460421860941e-05,0.04923923517695727,269586,58.99149335362017,2284.956564703207,,,,,,,
300,0.06315100193023682,0.0022263604041654617,-0.00048477072573405167,8.012065109141986e-06,0.0032580285405856557,0.888671875,0.3004870514481217,219.47975540161133,224.244140625,123.10497283935547,5e-06,300,0,0.6875,1.0,0.0,0.6875,1.0,0.0,-0.2788769602775574,1.6201815605163574,-2.4748666286468506,-0.2788769602775574,1.6201815605163574,-2.4748666286468506,818.28125,5216.0,59.0,0.0,818.28125,5216.0,59.0,0.0,0.0,1214.9375,1803.0,839.0,0.0,3,62,16.15625,0.1875,0.8125,5.5,8,5.5,8.0,8,8,3.051571547985077e-05,0.6219929829239845,42.5842671841383,7.271473816639627,0.0,0.0,0.0,42.5842671841383,0.0,1070,5216,44.60384664312005,8.495897054672241e-05,2.2071995958685875,0.0037909895181655884,12.768670588731766,59.61049201153219,3.833509981632233e-05,0.42585303268207036,1.4566610508912856e-05,0.04906271839882793,260252,59.61049201153219,2182.937862261327,,,,,,,
301,0.06392654031515121,0.0015473570565518457,3.273189372521301e-05,3.369998921698425e-06,0.007429138873703778,0.681640625,0.294285996483757,219.47975540161133,224.244140625,123.20028686523438,5e-06,301,0,0.7109375,1.0,0.0,0.7109375,1.0,0.0,-0.2444964498281479,1.6201815605163574,-2.4748666286468506,-0.2444964498281479,1.6201815605163574,-2.4748666286468506,645.6796875,4511.0,119.0,0.0,645.6796875,4511.0,119.0,0.0,0.0,1153.3125,1840.0,783.0,0.0,3,62,13.1875,0.1875,0.8125,5.6875,8,5.6875,8.0,8,8,3.067590296268463e-05,1.2928029727190733,36.55210414901376,5.80581323246588,0.0,0.0,0.0,36.55210414901376,0.0,1077,4511,38.59519613534212,8.858554065227509e-05,2.0135146286338568,0.003980699926614761,11.409722838550806,52.05292704515159,3.857351839542389e-05,0.4669884706685315,1.728702236327962e-05,0.0495491088263429,230271,52.05292704515159,2211.892904699279,,,,,,,
302,0.06402793526649475,0.003324817735119723,1.771193910826696e-05,7.298642685782397e-06,0.00024338049115613103,0.9453125,0.30452853727774964,219.47975540161133,224.244140625,123.09568405151367,5e-06,302,0,0.671875,1.0,0.0,0.671875,1.0,0.0,-0.36523494124412537,1.20761239528656,-2.4748666286468506,-0.36523494124412537,1.20761239528656,-2.4748666286468506,1015.1640625,3991.0,85.0,0.0,1015.1640625,3991.0,85.0,0.0,0.0,1202.0625,1899.0,861.0,0.0,3,62,21.296875,0.1875,0.8125,5.375,8,5.375,8.0,8,8,6.489083170890808e-05,0.9355565439909697,34.51459419541061,9.329046910483157,0.0,0.0,0.0,34.51459419541061,0.0,1209,3991,36.51706850901246,8.892267942428589e-05,2.36541610956192,0.003763226792216301,13.888756832107902,52.80349871329963,3.692507743835449e-05,0.2810280705013234,1.3259903075056116e-05,0.0489376749250644,283805,52.80349871329963,2687.369273965533,,,,,,,
303,0.06803227961063385,0.001762483572747442,-0.00048281151703122305,1.9870920368703082e-05,0.009144107723841444,0.875,0.292674212688458,219.47975540161133,224.244140625,123.16377258300781,5e-06,303,0,0.921875,1.0,0.0,0.921875,1.0,0.0,-0.2881699502468109,0.935412585735321,-2.4748666286468506,-0.2881699502468109,0.935412585735321,-2.4748666286468506,717.375,4442.0,116.0,0.0,717.375,4442.0,116.0,0.0,0.0,1151.1875,1711.0,872.0,0.0,3,62,14.171875,0.0,1.0,7.375,8,7.375,8.0,8,8,2.7721747756004333e-05,1.2362732961773872,35.48226089030504,6.727294156444259,0.0,0.0,0.0,35.48226089030504,0.0,1161,4442,37.6610984634608,9.10777598619461e-05,2.050590306520462,0.003691248595714569,11.829004855826497,51.57194396853447,3.830157220363617e-05,0.4101443899575362,1.5433189767010777e-05,0.04945732371068375,239176,51.57194396853447,2318.857712111145,,,,,,,
304,0.06304066628217697,0.001647241399041377,-6.257648237806279e-06,1.3828050668962533e-05,0.0021231963764876127,0.666015625,0.3062845685258392,219.47975540161133,224.244140625,123.25397109985352,5e-06,304,0,0.6328125,1.0,0.0,0.6328125,1.0,0.0,-0.24445222318172455,1.6201815605163574,-2.4748666286468506,-0.24445222318172455,1.6201815605163574,-2.4748666286468506,1055.5078125,5566.0,100.0,0.0,1055.5078125,5566.0,100.0,0.0,0.0,1197.75,1609.0,787.0,0.0,3,62,19.546875,0.25,0.75,5.0625,8,5.0625,8.0,8,8,2.831965684890747e-05,1.0460783541202545,48.093116726726294,9.681327768717892,0.0,0.0,0.0,48.093116726726294,0.0,970,5566,50.2595071233809,8.600391447544098e-05,2.387727277353406,0.0037707872688770294,14.172732995823026,66.85090926848352,3.6654993891716003e-05,0.3720033094510262,1.307408117023972e-05,0.049139728226224616,288417,66.85090926848352,2157.1658722073103,,,,,,,
305,0.06720343977212906,0.0016419807434431277,0.00012960268850292778,1.3517701745513477e-05,0.004170300584519282,0.900390625,0.2980187668218852,219.47975540161133,224.244140625,123.35430908203125,5e-06,305,0,0.703125,1.0,0.0,0.703125,1.0,0.0,-0.16745434701442719,0.7245674133300781,-2.4748666286468506,-0.16745434701442719,0.7245674133300781,-2.4748666286468506,629.28125,3846.0,114.0,0.0,629.28125,3846.0,114.0,0.0,0.0,1231.125,2011.0,873.0,0.0,3,62,13.34375,0.25,0.75,5.625,8,5.625,8.0,8,8,2.7744099497795105e-05,1.2961273584514856,30.12293992936611,5.791520477199811,0.0,0.0,0.0,30.12293992936611,0.0,1079,3846,32.046587243676186,0.00010969676077365875,2.0531378723680973,0.005247274413704872,11.476097350940108,45.620639342814684,3.6306679248809814e-05,0.39785701995923156,2.2035150310352545e-05,0.04819216800320876,238132,45.620639342814684,2609.9151988047065,,,,,,,
306,0.06428911536931992,0.002511914979550056,-0.00029035876195848687,1.6534034784854157e-05,0.009070840897038579,0.88671875,0.295145174011518,219.47975540161133,224.244140625,123.50435638427734,5e-06,306,0,0.8125,1.0,0.0,0.8125,1.0,0.0,-0.3394497334957123,1.6201815605163574,-2.4748666286468506,-0.3394497334957123,1.6201815605163574,-2.4748666286468506,792.5390625,4051.0,96.0,0.0,792.5390625,4051.0,96.0,0.0,0.0,1049.3125,1669.0,800.0,0.0,3,62,17.171875,0.0625,0.9375,6.5,8,6.5,8.0,8,8,2.8928741812705994e-05,0.963678615167737,31.337570736184716,7.337236916835536,0.0,0.0,0.0,31.337570736184716,0.0,1354,4051,33.42240766249597,8.751451969146729e-05,2.0721708592027426,0.003858506679534912,11.61961562372744,47.145460115745664,3.683939576148987e-05,0.32946333148500145,1.6366456476519943e-05,0.04928640771526377,235757,47.145460115745664,2500.31497647068,,,,,,,
