step,actor_use_cached_prefix_old_logprob,actor_prefix_mask_sum,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_continuation_loss,actor_prefix_loss,actor_pg_loss,actor_prefix_loss_weight,actor_prefix_token_count,actor_prefix_old_logprob_source,actor_prefix_loss_mode_joint,actor_prefix_logprob_delta_mean,actor_prefix_logprob_delta_abs_mean,actor_prefix_ratio_mean,actor_prefix_advantage_mean,actor_prefix_advantage_abs_mean,actor_prefix_token_frac,actor_prefix_loss_contribution,actor_prefix_loss_share,actor_continuation_pg_clipfrac,actor_continuation_ppo_kl,actor_continuation_pg_clipfrac_lower,actor_prefix_pg_clipfrac,actor_prefix_ppo_kl,actor_prefix_pg_clipfrac_lower,actor_prefix_clip_override_active,actor_prefix_clip_ratio,actor_prefix_clip_ratio_low,actor_prefix_clip_ratio_high,actor_prefix_clip_ratio_c,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_adv,timing_per_token_ms_update_actor,timing_per_token_ms_gen,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,True,33704,0.08919034153223038,0.002020234191149939,-0.00032208988113779924,0.0,0.0022698158863931894,-0.03790496817964595,-0.03563515248242766,1.0,2106.5,1.0,0.0,-1.7054077573120594,2.8694326281547546,4895788.265625,0.4577557733282447,0.4577557733282447,0.31144733940015523,-0.03790496817964595,0.32562601115569245,0.002020234191149939,-0.00032208988113779924,0.0,0.054821768775582314,1.7183780893683434,0.0,1.0,0.5,0.5,0.5,3.0,1.8984375,0.1688091145986454,226.07052898406982,235.515625,236.14889526367188,5e-06,1,0,0.3828125,1.0,0.0,0.3828125,1.0,0.0,-0.3266429007053375,0.935412585735321,-2.4748666286468506,-0.3266429007053375,0.935412585735321,-2.4748666286468506,2245.2578125,8192.0,128.0,0.0859375,2245.2578125,8192.0,128.0,0.0859375,0.0,1200.1875,1760.0,891.0,0.0,3,62,21.3359375,0.5,0.5,3.0625,8,3.0625,8.0,8,8,0.0001399461179971695,1.4553407710045576,85.73483086191118,22.923656605475117,0.0,0.0,0.0,85.73483086191118,0.0,957,8192,94.05018126405776,0.00026006437838077545,6.285587282851338,0.0044195279479026794,43.2443107906729,143.62725122272968,4.119612276554108e-05,1.0021219018547311e-05,0.09805588172490606,0.3272528602438395,441017,143.62725122272968,1535.2831591690554,,,,,,,
2,True,29720,0.08402083069086075,0.0027816613219329156,-1.781060450412042e-05,2.001076722990547e-06,0.008633701669168659,-0.0433543398976326,-0.034720638301223516,1.0,1857.5,1.0,0.0,-1.628224391490221,2.6665223240852356,4008885.6640625,0.46435148920863867,0.46435148920863867,0.19520345399465508,-0.0433543398976326,0.4208610069924962,0.0027816613219329156,-1.781060450412042e-05,2.001076722990547e-06,0.06567284755874425,1.5584777742624283,0.0,1.0,0.5,0.5,0.5,3.0,1.625,0.1716983857972827,238.7577075958252,248.58203125,243.75983428955078,5e-06,2,0,0.515625,1.0,0.0,0.515625,1.0,0.0,-0.41692298650741577,2.4748666286468506,-2.4748666286468506,-0.41692298650741577,2.4748666286468506,-2.4748666286468506,2893.0,8192.0,124.0,0.109375,2893.0,8192.0,124.0,0.109375,0.0,1203.0625,1904.0,784.0,0.0,3,62,24.890625,0.1875,0.8125,4.125,8,4.125,8.0,8,8,4.346482455730438e-05,1.3693093955516815,87.84065309911966,30.133477809024043,0.0,0.0,0.0,87.84065309911966,0.0,1904,8192,90.34782741777599,0.00012019835412502289,4.117850426584482,0.004096793010830879,52.18589322641492,146.69146694615483,4.057958722114563e-05,7.813893317574193e-06,0.09953517331128775,0.2439828557557466,524296,146.69146694615483,1787.070546483969,,,,,,,
3,True,36336,0.08244313299655914,0.001535202414743253,-0.00012228852438056492,5.703595320483146e-07,0.008331857461598702,-0.016637109518342186,-0.00830525191850029,1.0,2271.0,1.0,0.0,-1.1851647566072643,2.4300792030990124,4845141.8515625,0.16059022466652095,0.16059022466652095,0.2643536124279696,-0.016637109518342186,0.3725325446903144,0.001535202414743253,-0.00012228852438056492,5.703595320483146e-07,0.03180068207439035,1.1488519106060266,0.0,1.0,0.5,0.5,0.5,3.0,0.794921875,0.1743721179576489,244.5749831199646,253.9140625,259.5703239440918,5e-06,3,0,0.5390625,1.0,0.0,0.5390625,1.0,0.0,-0.2015540897846222,1.6201815605163574,-2.4748666286468506,-0.2015540897846222,1.6201815605163574,-2.4748666286468506,2682.8828125,8192.0,121.0,0.1484375,2682.8828125,8192.0,121.0,0.1484375,0.0,1230.8125,2029.0,781.0,0.0,3,62,21.1171875,0.375,0.625,4.3125,8,4.3125,8.0,8,8,6.722100079059601e-05,1.3964857403188944,90.61314333043993,27.858734349050792,0.0,0.0,0.0,90.61314333043993,0.0,1393,8192,93.02251864410937,0.0001191217452287674,4.018776787444949,0.004033396020531654,49.99677471071482,147.07307812012732,4.109181463718414e-05,8.051445985015868e-06,0.09980332428534178,0.2708796759668773,500953,147.07307812012732,1703.0751188563154,,,,,,,
4,True,23816,0.07242704927921295,0.0011522695513122017,-0.00031218560354773217,0.0,0.0009930929663823918,0.0,0.0009930929663823918,1.0,1488.5,1.0,0.0,-1.1409081858582795,2.5258868858218193,5005025.2421875,0.0,0.0,0.2998846049829712,0.0,0.0,0.0011522695513122017,-0.00031218560354773217,0.0,0.0,1.1210689805448055,0.0,1.0,0.5,0.5,0.5,3.0,0.33984375,0.16745297666349607,244.5749831199646,253.9140625,272.5935516357422,5e-06,4,0,0.6171875,1.0,0.0,0.6171875,1.0,0.0,-0.17050430178642273,1.6201815605163574,-2.4748666286468506,-0.17050430178642273,1.6201815605163574,-2.4748666286468506,1686.5,8192.0,109.0,0.0625,1686.5,8192.0,109.0,0.0625,0.0,1100.0,1668.0,797.0,0.0,3,62,15.78125,0.3125,0.6875,4.9375,8,4.9375,8.0,8,8,3.460794687271118e-05,1.1874726824462414,77.1920079626143,15.681674026098335,0.0,0.0,0.0,77.1920079626143,0.0,973,8192,79.46802791208029,0.00010515935719013214,2.952490719035268,0.003918292000889778,34.81822693347931,117.2728985119611,4.099495708942413e-05,1.0985701150888711e-05,0.09761973727536591,0.36812568518418454,356672,117.2728985119611,1520.6923531595908,,,,,,,
5,True,35000,0.10136768966913223,0.0009183406946249306,0.0002082950723547583,1.0355225867897389e-06,0.011201330635230988,-0.019608575144957285,-0.008407244546106085,1.0,2187.5,1.0,0.0,-2.3563799038529396,3.369098462164402,3584871.71484375,0.1943531046854332,0.1943531046854332,0.31037405055355927,-0.019608575144957285,0.16994403306714734,0.0009183406946249306,0.0002082950723547583,1.0355225867897389e-06,0.03003956124302931,2.221543852239847,0.0,1.0,0.5,0.5,0.5,3.0,1.4921875,0.16330671342860043,244.5749831199646,253.9140625,290.9942321777344,5e-06,5,0,0.484375,1.0,0.0,0.484375,1.0,0.0,-0.32991936802864075,2.4748666286468506,-1.6201815605163574,-0.32991936802864075,2.4748666286468506,-1.6201815605163574,1547.5703125,8192.0,118.0,0.0234375,1547.5703125,8192.0,118.0,0.0234375,0.0,1219.375,1844.0,783.0,0.0,3,62,14.1171875,0.375,0.625,3.875,8,3.875,8.0,8,8,3.7532299757003784e-05,1.4365473091602325,76.99105466157198,15.18792524987657,0.0,0.0,0.0,76.99105466157198,0.0,1414,8192,79.66714677400887,0.00013473257422447205,2.7922604884952307,0.005458781495690346,34.30821787007153,116.80477954819798,4.25633043050766e-05,1.541292856147869e-05,0.09686962402150254,0.40217854991447716,354169,116.80477954819798,1516.072378929737,,,,,,,
6,True,28784,0.07833056151866913,0.0005441505463750218,9.632799941527992e-05,1.9075823161074368e-06,-0.0035998011444462463,-0.013951997520052828,-0.017551798257045448,1.0,1799.0,1.0,0.0,-1.6469476539641619,2.932934384793043,5614193.828125,0.15191422030329704,0.15191422030329704,0.29723837090843064,-0.013951997520052828,0.2607317214476821,0.0005441505463750218,9.632799941527992e-05,1.9075823161074368e-06,0.021454617264680564,1.580460174009204,0.0,1.0,0.5,0.5,0.5,3.0,0.998046875,0.16965487353430656,244.5749831199646,253.9140625,315.44173431396484,5e-06,6,0,0.671875,1.0,0.0,0.671875,1.0,0.0,-0.10633193701505661,1.6201815605163574,-0.935412585735321,-0.10633193701505661,1.6201815605163574,-0.935412585735321,2085.1015625,8192.0,138.0,0.0859375,2085.1015625,8192.0,138.0,0.0859375,0.0,1161.0625,1582.0,899.0,0.0,3,62,18.3359375,0.25,0.75,5.375,8,5.375,8.0,8,8,9.969808161258698e-05,1.6042025294154882,91.39520270749927,21.438082559980103,0.0,0.0,0.0,91.39520270749927,0.0,1063,8192,110.8865146767348,0.00017081014811992645,3.274545941501856,0.00414961576461792,41.15354225970805,155.411086846143,6.322748959064484e-05,9.986825230302882e-06,0.09904368439602523,0.4154717983489069,415509,155.411086846143,1336.8061714006092,,,,,,,
7,True,36384,0.07768173515796661,0.0016562498258281266,-0.00018284124189449358,1.132809586579242e-06,0.003046539204660803,-0.03249333384519559,-0.029446794782415964,1.0,2274.0,1.0,0.0,-2.0048729367554188,3.0632871240377426,3890754.8359375,0.34569954313337803,0.34569954313337803,0.23413268606227844,-0.03249333384519559,0.43994061158158815,0.0016562498258281266,-0.00018284124189449358,1.132809586579242e-06,0.04961209400789812,1.8800736553967,0.0,1.0,0.5,0.5,0.5,3.0,1.4609375,0.17637225251711747,244.5749831199646,253.9140625,236.28466415405273,5e-06,7,0,0.5703125,1.0,0.0,0.5703125,1.0,0.0,-0.2560476064682007,2.4748666286468506,-2.4748666286468506,-0.2560476064682007,2.4748666286468506,-2.4748666286468506,3300.0703125,8192.0,133.0,0.109375,3300.0703125,8192.0,133.0,0.109375,0.0,1251.625,1888.0,874.0,0.0,3,62,28.296875,0.25,0.75,4.5625,8,4.5625,8.0,8,8,0.00010068714618682861,1.4689113572239876,91.59039152041078,35.079283363040304,0.0,0.0,0.0,91.59039152041078,0.0,1826,8192,94.36368988268077,0.00012986361980438232,4.485753478482366,0.0038168877363204956,57.34931845217943,156.23645725660026,3.953278064727783e-05,6.5512810925882626e-06,0.09843399429158338,0.22339412721481022,582617,156.23645725660026,1864.536005969206,,,,,,,
8,True,28656,0.07543322443962097,0.0006684181771561271,0.0003858742720126429,0.0,0.004299350286601111,-0.015994726010831073,-0.011695375549606979,1.0,1791.0,1.0,0.0,-1.3932951809838414,2.5933187268674374,5234046.6171875,0.15584587771445513,0.15584587771445513,0.22442612100877085,-0.015994726010831073,0.3259005593573988,0.0006684181771561271,0.0003858742720126429,0.0,0.027437601005658507,1.3011475796811283,0.0,1.0,0.5,0.5,0.5,3.0,0.564453125,0.17605723583646793,244.5749831199646,253.9140625,252.18507385253906,5e-06,8,0,0.53125,1.0,0.0,0.53125,1.0,0.0,-0.11880197376012802,0.5400605201721191,-2.4748666286468506,-0.11880197376012802,0.5400605201721191,-2.4748666286468506,3038.5234375,8192.0,157.0,0.09375,3038.5234375,8192.0,157.0,0.09375,0.0,1203.25,1860.0,878.0,0.0,3,62,27.4375,0.4375,0.5625,4.25,8,4.25,8.0,8,8,3.7297606468200684e-05,1.7115399483591318,91.88838508538902,31.8409937221586,0.0,0.0,0.0,91.88838508538902,0.0,892,8192,94.0030062366277,0.000157257542014122,4.223990935832262,0.0038622915744781494,52.781226959079504,151.0428124666214,4.028715193271637e-05,7.113570154136867e-06,0.09721248475280185,0.24169584382995363,542947,151.0428124666214,1797.3281585973666,,,,,,,
9,True,23840,0.07947216928005219,0.0013521379878511652,0.00015048912723614194,2.2323297343973536e-06,0.007431786842062138,-0.02377169121609768,-0.016339904483174905,1.0,1490.0,1.0,0.0,-1.8515666835010052,2.79110673815012,3346004.236328125,0.22770413343096152,0.22770413343096152,0.24849030965376356,-0.02377169121609768,0.2795642933392217,0.0013521379878511652,0.00015048912723614194,2.2323297343973536e-06,0.03047216741833836,1.7381144724786282,0.0,1.0,0.5,0.5,0.5,3.0,0.9765625,0.1730040226607094,244.5749831199646,253.9140625,267.7048568725586,5e-06,9,0,0.5234375,1.0,0.0,0.5234375,1.0,0.0,-0.243676096200943,1.6201815605163574,-2.4748666286468506,-0.243676096200943,1.6201815605163574,-2.4748666286468506,2747.8515625,8192.0,147.0,0.109375,2747.8515625,8192.0,147.0,0.109375,0.0,1111.8125,1853.0,824.0,0.0,3,62,23.515625,0.3125,0.6875,4.1875,8,4.1875,8.0,8,8,7.947534322738647e-05,1.7177503369748592,88.87498559243977,28.530135792476358,0.0,0.0,0.0,88.87498559243977,0.0,1100,8192,91.21949024125934,0.0005265660583972931,3.8891874849796295,0.0039214640855789185,48.780469466000795,143.94761592708528,7.311999797821045e-05,7.937591892062574e-06,0.09873849421399773,0.2593488954190329,494037,143.94761592708528,1716.03050463249,,,,,,,
10,True,44440,0.06812667846679688,0.0024514830465705018,-0.00011386563227233637,1.6908542761484568e-06,-0.0019513127917889506,-0.037530285808315966,-0.039481598389102146,1.0,2777.5,1.0,0.0,-2.4209173880517483,3.4174817129969597,4069251.62890625,0.37209026992786676,0.37209026992786676,0.2597667694337659,-0.037530285808315966,0.4389584227086527,0.0024514830465705018,-0.00011386563227233637,1.6908542761484568e-06,0.05904669390292838,2.2140356972813606,0.0,1.0,0.5,0.5,0.5,3.0,1.23828125,0.17503149904387072,244.5749831199646,253.9140625,284.36753845214844,5e-06,10,0,0.4609375,1.0,0.0,0.4609375,1.0,0.0,-0.2475872039794922,2.4748666286468506,-2.4748666286468506,-0.2475872039794922,2.4748666286468506,-2.4748666286468506,3180.5390625,8192.0,148.0,0.09375,3180.5390625,8192.0,148.0,0.09375,0.0,1335.6875,1928.0,867.0,0.0,3,62,28.546875,0.375,0.625,3.6875,8,3.6875,8.0,8,8,7.983110845088959e-05,1.684705836698413,90.09287355653942,32.98939867691661,0.0,0.0,0.0,90.09287355653942,0.0,1052,8192,92.47160051204264,9.82377678155899e-05,4.446971518918872,0.003863038495182991,57.066261392086744,154.01927567459643,4.7149136662483215e-05,6.682567365909716e-06,0.09871740510708218,0.227142117988162,578077,154.01927567459643,1876.6384839431712,,,,,,,
